"job_id","job_title","job_country","job_schedule_type","salary_year_avg","company_name","skills"
196337,"Predictive Data Analyst","Sudan","Full-time","85000.0","SimioCloud","r"
1458260,"Data Analyst / Software Developer","United States","Full-time","85000.0","QSE7, LLC","sharepoint"
314738,"Growth Data Analyst","United States","Full-time","85000.0","Get It Recruit - Information Technology","sheets"
1112585,"Senior Data Analyst II","United States","Full-time","85000.0","BlueLabs Analytics, Inc.","snowflake"
710614,"Data Mining Analyst","United States","Full-time","85000.0","Envision Staffing Solutions","spreadsheet"
1085007,"Data Analyst (Remote)","United States","Full-time","85000.0","DeepIntent","sql"
1112585,"Senior Data Analyst II","United States","Full-time","85000.0","BlueLabs Analytics, Inc.","sql"
27772,"Data Analyst - DHS Clearance Required Remote / Telecommute Jobs","United States","Full-time","85000.0","Redwood Strategy Group","sql"
314738,"Growth Data Analyst","United States","Full-time","85000.0","Get It Recruit - Information Technology","sql"
384007,"Data Analyst","United States","Full-time","85000.0","Motion Recruitment","sql"
382000,"Healthcare Data Analyst","Sudan","Full-time","85000.0","Prime Team Partners","sql"
1782272,"Marketing Data Analyst","United States","Full-time","85000.0","FocusKPI Inc.","sql"
196337,"Predictive Data Analyst","Sudan","Full-time","85000.0","SimioCloud","sql"
384007,"Data Analyst","United States","Full-time","85000.0","Motion Recruitment","sql server"
1215316,"Data Analyst & Dashboard Developer","United States","Full-time","85000.0","Impact Genome","tableau"
27772,"Data Analyst - DHS Clearance Required Remote / Telecommute Jobs","United States","Full-time","85000.0","Redwood Strategy Group","tableau"
1112585,"Senior Data Analyst II","United States","Full-time","85000.0","BlueLabs Analytics, Inc.","tableau"
1640252,"Data Analyst","United States","Full-time","85000.0","Get It Recruit - Information Technology","tableau"
1458260,"Data Analyst / Software Developer","United States","Full-time","85000.0","QSE7, LLC","tableau"
382000,"Healthcare Data Analyst","Sudan","Full-time","85000.0","Prime Team Partners","tableau"
1762396,"Data Analyst & Dashboard Developer","United States","Full-time","85000.0","Impact Genome","tableau"
314738,"Growth Data Analyst","United States","Full-time","85000.0","Get It Recruit - Information Technology","tableau"
50602,"Data Analyst & Dashboard Developer","United States","Full-time","85000.0","Impact Genome","tableau"
50602,"Data Analyst & Dashboard Developer","United States","Full-time","85000.0","Impact Genome","terminal"
1215316,"Data Analyst & Dashboard Developer","United States","Full-time","85000.0","Impact Genome","terminal"
1762396,"Data Analyst & Dashboard Developer","United States","Full-time","85000.0","Impact Genome","terminal"
1458260,"Data Analyst / Software Developer","United States","Full-time","85000.0","QSE7, LLC","vba"
27772,"Data Analyst - DHS Clearance Required Remote / Telecommute Jobs","United States","Full-time","85000.0","Redwood Strategy Group","visio"
27772,"Data Analyst - DHS Clearance Required Remote / Telecommute Jobs","United States","Full-time","85000.0","Redwood Strategy Group","word"
382000,"Healthcare Data Analyst","Sudan","Full-time","85000.0","Prime Team Partners","word"
710614,"Data Mining Analyst","United States","Full-time","85000.0","Envision Staffing Solutions","word"
1766497,"Healthcare Data Analyst","United States","Full-time","84950.0","Get It Recruit - Healthcare","alteryx"
1766497,"Healthcare Data Analyst","United States","Full-time","84950.0","Get It Recruit - Healthcare","db2"
1766497,"Healthcare Data Analyst","United States","Full-time","84950.0","Get It Recruit - Healthcare","sql"
1766497,"Healthcare Data Analyst","United States","Full-time","84950.0","Get It Recruit - Healthcare","tableau"
398669,"Experienced Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","aws"
398669,"Experienced Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","azure"
367476,"Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","excel"
104800,"Financial Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","excel"
133854,"Pricing Data Analyst","United States","Full-time","84500.0","Get It Recruit - Finance","excel"
1736157,"Asset Verification Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","excel"
444259,"Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","excel"
1540216,"Marketing Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","excel"
444259,"Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","javascript"
367476,"Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","javascript"
547661,"Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","jenkins"
1540216,"Marketing Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","looker"
367476,"Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","looker"
398669,"Experienced Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","looker"
444259,"Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","looker"
1540216,"Marketing Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","power bi"
367476,"Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","python"
444259,"Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","python"
1813745,"Data Platform Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","python"
1540216,"Marketing Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","python"
444259,"Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","r"
1813745,"Data Platform Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","r"
367476,"Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","r"
1540216,"Marketing Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","r"
398669,"Experienced Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","redshift"
133854,"Pricing Data Analyst","United States","Full-time","84500.0","Get It Recruit - Finance","sap"
367476,"Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","sas"
367476,"Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","sas"
444259,"Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","sas"
444259,"Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","sas"
496663,"Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","sharepoint"
1540216,"Marketing Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","sheets"
398669,"Experienced Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","snowflake"
367476,"Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","spss"
444259,"Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","spss"
1813745,"Data Platform Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","sql"
547661,"Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","sql"
398669,"Experienced Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","sql"
444259,"Data Analyst","United States","Full-time","84500.0","Get It Recruit - Information Technology","sql"
